Wavelength [nm],Bright Red,Bright Green,Bright Blue,Bright Amber
380,0.00000E+00,1.45679E-06,5.19316E-05,0.00000E+00
381,0.00000E+00,0.00000E+00,3.73094E-05,0.00000E+00
382,0.00000E+00,7.32673E-06,2.89795E-05,9.15841E-07
383,3.39413E-06,1.21167E-05,3.66443E-06,2.11243E-07
384,0.00000E+00,0.00000E+00,1.61865E-05,1.16818E-05
385,1.67019E-07,0.00000E+00,3.23853E-05,8.01690E-07
386,4.57240E-07,0.00000E+00,2.31411E-05,2.19475E-06
387,0.00000E+00,8.93494E-06,2.20344E-05,2.07789E-07
388,5.03105E-06,3.41596E-06,0.00000E+00,6.16087E-07
389,1.19040E-05,1.05079E-05,2.58007E-05,2.92455E-08
390,3.59511E-06,1.00663E-05,1.21660E-05,8.65627E-07
391,2.95266E-06,0.00000E+00,1.82024E-05,5.90616E-06
392,4.24141E-06,7.15827E-06,2.38675E-05,2.74060E-06
393,0.00000E+00,1.61640E-05,4.96499E-05,0.00000E+00
394,8.21346E-06,7.83943E-06,6.04976E-06,0.00000E+00
395,0.00000E+00,1.15667E-05,3.15695E-05,3.80646E-07
396,0.00000E+00,3.90267E-06,4.79182E-05,3.73528E-06
397,0.00000E+00,1.03414E-05,2.77429E-05,1.82043E-06
398,4.29722E-06,1.73760E-06,2.51176E-05,1.46610E-06
399,1.21993E-06,0.00000E+00,1.09151E-05,0.00000E+00
400,0.00000E+00,1.75529E-05,2.78817E-05,0.00000E+00
401,0.00000E+00,1.17637E-05,4.62044E-05,0.00000E+00
402,0.00000E+00,1.01093E-05,3.83933E-05,3.76336E-07
403,0.00000E+00,8.70479E-06,2.33979E-05,4.25963E-07
404,0.00000E+00,6.41119E-06,1.52448E-05,0.00000E+00
405,5.45240E-06,8.34142E-06,3.01999E-05,0.00000E+00
406,0.00000E+00,1.98287E-05,5.59618E-05,2.75661E-06
407,2.70463E-06,1.11911E-05,5.92011E-05,6.92385E-07
408,4.24474E-06,1.42051E-05,6.13380E-05,1.08665E-06
409,0.00000E+00,2.03690E-05,8.36631E-05,2.62343E-06
410,0.00000E+00,8.59926E-06,6.33019E-05,4.59134E-07
411,0.00000E+00,1.50673E-05,8.37104E-05,0.00000E+00
412,0.00000E+00,1.02128E-05,6.32044E-05,9.18990E-07
413,6.38910E-06,6.01558E-06,9.25584E-05,2.01411E-06
414,5.38115E-06,1.43480E-05,1.13781E-04,0.00000E+00
