wavelength_nm,red,green,blue,cyan
390,1.40121132393619e-05,2.91655644777042e-05,8.90200044443711e-05,3.70792034365991e-05
392,7.15563785507126e-06,1.2440853274779e-05,6.50358567647924e-05,9.68250929477172e-06
394,1.12116006053277e-05,1.01891051783588e-05,5.92550141177397e-05,1.4359826057591e-05
396,9.96094654560083e-06,5.23031431599284e-06,3.73715204659598e-05,2.12991382976193e-05
398,8.96002021969153e-06,1.63827128905708e-05,4.06455076511145e-05,1.23802063723324e-05
400,5.7721771805038e-06,1.98769648099445e-05,4.27400332519892e-05,1.29166493248159e-05
402,7.72115101462057e-07,1.17510680659062e-05,5.37339406186971e-05,1.42637739400091e-05
404,-2.76713830675421e-06,2.38984473564946e-05,5.6033119987053e-05,2.58109983933671e-05
406,-3.27076570361007e-06,2.46133423690695e-05,4.80344124575786e-05,1.87166359301867e-05
408,4.75554592884459e-06,1.47279874873986e-05,4.28125979770391e-05,2.00667422491529e-05
410,-2.66174553353497e-06,1.75280479751493e-05,5.35771749202322e-05,1.27907909229029e-05
412,2.30552111929813e-06,2.36411047964468e-05,3.9118642820024e-05,2.13240456544873e-05
414,-5.08507394541148e-07,2.10312829744896e-05,5.53505673561128e-05,2.76506372435814e-05
416,6.57093474513834e-06,1.57899316224355e-05,5.20662575116663e-05,2.22009412819667e-05
418,4.79444788965099e-06,1.46635652114285e-05,6.02214960138292e-05,1.98909284151097e-05
420,-1.37247162923082e-06,1.64860761616824e-05,5.45518785470108e-05,1.84228875161623e-05
422,1.45925394920061e-06,1.19803841730048e-05,6.56630402842969e-05,2.71604862439559e-05
424,2.9793733547416e-08,1.17973465737846e-05,6.32723592469909e-05,2.33474609919589e-05
426,-3.469090444664e-07,9.36831454236125e-06,7.56174164803149e-05,2.49146323026249e-05
428,5.68055527277384e-06,1.33962723558168e-05,7.13969032231136e-05,1.99216062916532e-05
430,-5.22571173974262e-06,1.00100687372676e-05,7.18947596797728e-05,2.1566301908719e-05
432,-5.62140873881667e-06,7.43261437864194e-06,8.02421151147121e-05,2.64604461214833e-05
434,-3.84756800988366e-07,8.30501270216574e-06,9.82792184106143e-05,2.09603748273273e-05
436,-3.41843257075739e-06,1.12773925531382e-05,0.000105411611038262,2.11655588839078e-05
438,3.62689034916917e-06,7.59935492025866e-06,0.000133858702719678,1.59921219309202e-05
440,1.22081956906569e-06,8.54037658264232e-06,0.000189954477657165,1.589638909347e-05
442,1.58716275935979e-06,7.53779810861586e-06,0.000285978830841701,1.4901473877648e-05
444,-1.62252882353649e-06,1.20370642383262e-05,0.000508938788319683,1.85177505735614e-05
446,2.56396004853012e-06,1.14707939149828e-05,0.00102087012613165,1.63367581936993e-05
