Wavelength,RED.LED,GREEN.LED,BLUE.LED,AMBER.LED,CYAN
390,-2.75e-10,1.2e-10,6e-09,4.9e-11,2.27e-09
392,-1.46e-10,1.1e-10,5.6e-09,6.88e-11,2.1e-09
394,-8.77e-11,1.16e-10,5.76e-09,4.99e-11,2.34e-09
396,6.48e-11,8.56e-11,6.29e-09,4.65e-11,2.25e-09
398,1.05e-10,9.62e-11,7.75e-09,2.16e-11,1.87e-09
400,5.76e-11,1e-10,9.83e-09,4.34e-11,2.01e-09
402,2.45e-11,8.25e-11,1.43e-08,3.91e-11,2.06e-09
404,4.63e-11,8.19e-11,2.26e-08,2.45e-11,1.96e-09
406,9.06e-11,8.71e-11,3.78e-08,3.01e-11,2.03e-09
408,2.15e-10,1.15e-10,6.34e-08,2.51e-11,2.08e-09
410,1.35e-10,1.22e-10,1.08e-07,3.04e-11,2.04e-09
412,1.27e-10,1.27e-10,1.84e-07,4.97e-11,2.1e-09
414,1.13e-10,1.53e-10,3.06e-07,8.27e-11,2.17e-09
416,2.09e-10,1.7e-10,4.98e-07,1.14e-10,2.48e-09
418,1.99e-10,2.25e-10,7.82e-07,1.84e-10,2.67e-09
420,3.01e-10,3.33e-10,1.18e-06,2.71e-10,2.91e-09
422,5.13e-10,4.44e-10,1.71e-06,3.93e-10,3.63e-09
424,5.57e-10,6.05e-10,2.36e-06,5.37e-10,4.94e-09
426,7.95e-10,7.87e-10,3.07e-06,6.97e-10,7.54e-09
428,8.63e-10,9.29e-10,3.73e-06,8.32e-10,1.36e-08
430,9.84e-10,1.05e-09,4.16e-06,9.37e-10,2.6e-08
432,9.27e-10,1.05e-09,4.22e-06,9.54e-10,4.91e-08
434,8.59e-10,9.28e-10,3.81e-06,8.48e-10,9.01e-08
436,6.36e-10,7.25e-10,2.97e-06,6.35e-10,1.66e-07
438,5.07e-10,4.59e-10,1.95e-06,4.03e-10,2.96e-07
440,2.66e-10,2.93e-10,1.11e-06,2.4e-10,4.87e-07
442,2.18e-10,1.81e-10,5.81e-07,1.33e-10,7.44e-07
444,1.38e-10,1.25e-10,2.9e-07,7.42e-11,1.06e-06
446,1.54e-10,9.66e-11,1.61e-07,5.23e-11,1.38e-06
448,1.07e-10,9.41e-11,1.12e-07,3.48e-11,1.7e-06
450,8.51e-11,9.03e-11,8.95e-08,2.89e-11,2.01e-06
452,5.38e-11,8.68e-11,7.24e-08,2.81e-11,2.3e-06
454,8.81e-11,6.12e-11,5.84e-08,1.52e-11,2.55e-06
456,1.45e-10,7.11e-11,4.79e-08,1.94e-11,2.74e-06
458,1.39e-10,6.49e-11,4.02e-08,2.6e-11,2.82e-06
460,7.71e-11,7.02e-11,3.45e-08,1.46e-11,2.8e-06
462,6.32e-11,6.94e-11,3.05e-08,1.92e-11,2.68e-06
464,8.15e-11,6.52e-11,2.73e-08,1.89e-11,2.46e-06
466,3.71e-11,7.05e-11,2.48e-08,2.06e-11,2.18e-06
468,1.12e-10,6.49e-11,2.27e-08,1e-11,1.87e-06
470,3.56e-11,7.5e-11,2.11e-08,8.66e-12,1.56e-06
472,7.52e-11,6.73e-11,1.96e-08,1.89e-11,1.28e-06
474,6.62e-11,8.27e-11,1.82e-08,1.92e-11,1.06e-06
476,3.4e-11,9.26e-11,1.71e-08,1.16e-11,8.74e-07
478,3.44e-11,9.33e-11,1.56e-08,1.49e-11,7.27e-07
480,7.15e-11,1.09e-10,1.44e-08,1.89e-11,6.05e-07
482,4.07e-11,1.5e-10,1.32e-08,1.99e-11,4.98e-07
484,6.57e-11,2.51e-10,1.2e-08,1.82e-11,4.08e-07
486,5.59e-12,3.96e-10,1.09e-08,1.5e-11,3.31e-07
488,6.1e-11,4.73e-10,9.99e-09,1.84e-11,2.69e-07
490,9.38e-11,4.92e-10,9.15e-09,1.73e-11,2.19e-07
492,4.77e-11,4.49e-10,8.41e-09,1.41e-11,1.78e-07
494,6.6e-11,3.2e-10,7.74e-09,1.39e-11,1.47e-07
496,6.33e-11,2.22e-10,7.3e-09,1.15e-11,1.21e-07
498,6.11e-11,2.12e-10,6.74e-09,1.23e-11,1e-07
500,7.26e-11,2.87e-10,6.45e-09,1.64e-11,8.28e-08
502,8.02e-11,4.48e-10,6.09e-09,1.12e-11,6.8e-08
504,6.7e-11,7.33e-10,5.83e-09,1.6e-11,5.6e-08
506,4.22e-11,1.14e-09,5.51e-09,1.3e-11,4.61e-08
508,4.13e-11,1.7e-09,5.24e-09,8.1e-12,3.78e-08
510,8.63e-11,2.49e-09,4.89e-09,1.4e-11,3.14e-08
512,7.64e-11,3.74e-09,4.69e-09,9.67e-12,2.6e-08
514,8.93e-11,5.95e-09,4.36e-09,8.56e-12,2.16e-08
516,8.49e-11,1.05e-08,4.07e-09,9.26e-12,1.77e-08
518,6.16e-11,2.01e-08,3.75e-09,1.8e-11,1.44e-08
520,1.1e-10,3.87e-08,3.58e-09,1.75e-11,1.16e-08
522,9.76e-11,6.71e-08,3.35e-09,2.83e-11,9.13e-09
524,1.25e-10,1.02e-07,3.12e-09,4.12e-11,6.9e-09
526,1.17e-10,1.44e-07,2.89e-09,4.24e-11,5.1e-09
528,7.55e-11,1.93e-07,2.7e-09,5.91e-11,3.52e-09
530,7.08e-11,2.35e-07,2.51e-09,6.95e-11,2.4e-09
532,9.69e-11,2.59e-07,2.35e-09,7.87e-11,1.59e-09
534,1.23e-10,2.6e-07,2.22e-09,7.56e-11,1.04e-09
536,1.22e-10,2.43e-07,2.13e-09,6.76e-11,7.53e-10
538,1.38e-10,2.2e-07,2e-09,6.35e-11,7.04e-10
540,1.17e-10,1.98e-07,1.87e-09,5.81e-11,6.53e-10
542,1.89e-10,1.77e-07,1.7e-09,5.47e-11,6.21e-10
544,1.87e-10,1.58e-07,1.71e-09,5.17e-11,6.73e-10
546,1.82e-10,1.41e-07,1.52e-09,4.38e-11,5.92e-10
548,1.47e-10,1.25e-07,1.46e-09,4.34e-11,5.83e-10
550,1e-10,1.11e-07,1.4e-09,4.77e-11,5.4e-10
552,1.14e-10,9.76e-08,1.33e-09,7.06e-11,5.34e-10
554,1.1e-10,8.45e-08,1.24e-09,1.12e-10,5.31e-10
556,9.92e-11,7.15e-08,1.22e-09,1.96e-10,4.69e-10
558,1.02e-10,5.9e-08,1.11e-09,3.31e-10,4.74e-10
560,9.21e-11,4.72e-08,1.04e-09,5.6e-10,4.14e-10
562,9.25e-11,3.62e-08,9.77e-10,9.74e-10,4.18e-10
564,9.09e-11,2.6e-08,9.24e-10,1.65e-09,4.05e-10
566,9.09e-11,1.7e-08,8.86e-10,2.63e-09,4.17e-10
568,1.03e-10,9.89e-09,8.65e-10,4.02e-09,3.86e-10
570,8.4e-11,4.96e-09,8.08e-10,6.08e-09,3.64e-10
572,1.02e-10,2.11e-09,7.57e-10,8.81e-09,3.54e-10
574,1e-10,8.2e-10,6.96e-10,1.21e-08,3.79e-10
576,1.2e-10,4.38e-10,6.74e-10,1.62e-08,3.23e-10
578,1.24e-10,3.33e-10,6.24e-10,2.11e-08,3.19e-10
580,1.33e-10,2.81e-10,5.99e-10,2.74e-08,3.21e-10
582,1.75e-10,2.57e-10,6.03e-10,3.56e-08,2.93e-10
584,2.04e-10,2.41e-10,5.79e-10,4.58e-08,2.77e-10
586,2.49e-10,2.26e-10,5.42e-10,5.86e-08,2.85e-10
588,3.16e-10,2.05e-10,5.5e-10,7.47e-08,2.4e-10
590,4.01e-10,1.75e-10,5.15e-10,9.42e-08,2.92e-10
592,5.64e-10,1.52e-10,4.95e-10,1.17e-07,2.58e-10
594,8.17e-10,1.35e-10,4.41e-10,1.38e-07,2.39e-10
596,1.26e-09,1.14e-10,4.88e-10,1.46e-07,2.03e-10
598,2.16e-09,1.03e-10,4.17e-10,1.34e-07,2.51e-10
600,3.84e-09,1.01e-10,3.63e-10,1.04e-07,2.32e-10
602,7.16e-09,8.59e-11,4.06e-10,7.23e-08,1.98e-10
604,1.31e-08,8.88e-11,3.42e-10,4.76e-08,2.13e-10
606,2.29e-08,8.77e-11,3.51e-10,3.07e-08,2.37e-10
608,3.92e-08,9.28e-11,3.39e-10,1.91e-08,1.88e-10
610,6.54e-08,1.49e-10,3.45e-10,1.14e-08,1.88e-10
612,1.06e-07,1.78e-10,3.47e-10,6.44e-09,1.82e-10
614,1.61e-07,1.3e-10,3.33e-10,3.52e-09,2.06e-10
616,2.33e-07,1.25e-10,3.25e-10,1.82e-09,2.07e-10
618,3.19e-07,1.34e-10,3.12e-10,8.85e-10,2.24e-10
620,4.15e-07,1.53e-10,3.67e-10,4.27e-10,2.26e-10
622,5.19e-07,1.72e-10,3.59e-10,2.44e-10,3.02e-10
624,6.32e-07,1.8e-10,3.66e-10,1.92e-10,2.66e-10
626,7.59e-07,2.01e-10,4.11e-10,2.01e-10,3.15e-10
628,9e-07,2.29e-10,3.7e-10,2.13e-10,3.04e-10
630,1.05e-06,2.61e-10,4.24e-10,2.29e-10,3.46e-10
632,1.18e-06,2.77e-10,4.33e-10,2.43e-10,3.82e-10
634,1.27e-06,2.58e-10,4.53e-10,2.33e-10,3.54e-10
636,1.27e-06,2.28e-10,3.87e-10,2.05e-10,3.21e-10
638,1.14e-06,1.88e-10,3.55e-10,1.6e-10,2.6e-10
640,9.22e-07,1.47e-10,2.78e-10,1.18e-10,2e-10
642,6.79e-07,1.12e-10,2.38e-10,9.17e-11,1.78e-10
644,4.76e-07,8.47e-11,2.24e-10,6.85e-11,1.62e-10
646,3.28e-07,6.85e-11,2.11e-10,5.09e-11,1.45e-10
648,2.27e-07,5.81e-11,1.94e-10,4.08e-11,1.11e-10
650,1.59e-07,5.39e-11,1.5e-10,3.18e-11,1.27e-10
652,1.12e-07,5.03e-11,1.78e-10,3.36e-11,8.72e-11
654,8e-08,4.06e-11,1.21e-10,2.46e-11,9.31e-11
656,5.77e-08,3.66e-11,1.39e-10,2.06e-11,1.4e-10
658,4.21e-08,3e-11,1.43e-10,1.93e-11,8.64e-11
660,3.12e-08,3.17e-11,1.37e-10,1.62e-11,1.13e-10
662,2.34e-08,3.03e-11,1.33e-10,1.39e-11,1.03e-10
664,1.78e-08,2.93e-11,1.12e-10,1.37e-11,7.79e-11
666,1.36e-08,2.49e-11,1.56e-10,6.83e-12,1.16e-10
668,1.05e-08,1.82e-11,1.07e-10,1.23e-11,8.34e-11
670,8.19e-09,2.72e-11,9.87e-11,9.67e-12,8.21e-11
672,6.38e-09,1.78e-11,1.11e-10,1.34e-11,6.73e-11
674,5.11e-09,1.45e-11,1.18e-10,3.17e-12,8.57e-11
676,4.03e-09,3.08e-11,1.85e-10,6.37e-12,5.6e-11
678,3.25e-09,1.89e-11,1.59e-10,6.69e-12,5.31e-12
680,2.61e-09,8.61e-12,1.86e-10,3.99e-12,5.38e-12
682,2.09e-09,1.38e-11,1.69e-10,3.36e-12,-1.67e-11
684,1.74e-09,1.2e-11,1.19e-10,5.15e-12,2.21e-12
686,1.48e-09,8.84e-12,1.19e-10,4.39e-12,-4.33e-11
688,1.17e-09,6.01e-12,1.84e-10,3.03e-12,-6.03e-12
690,9.98e-10,1.7e-11,1.17e-10,7.31e-12,-3.37e-11
692,8.87e-10,1.4e-11,9.39e-11,1.01e-11,-2.76e-11
694,7.85e-10,9.28e-12,1.08e-10,1.04e-11,-4.04e-11
696,6.76e-10,1.4e-13,1.48e-10,1.51e-11,-2.8e-11
698,5.76e-10,3.71e-12,9.31e-11,1.49e-11,-3.67e-11
700,5.24e-10,4.69e-14,1.46e-10,1.85e-11,3.76e-12
702,4.92e-10,9.38e-12,1.07e-10,1.64e-11,-8.42e-12
704,4.87e-10,7.61e-12,8.24e-11,9.56e-12,-4.17e-11
706,4.09e-10,2.45e-12,4.68e-11,1.32e-11,-2.65e-12
708,4.2e-10,7.36e-12,9.29e-11,1.46e-11,-4.19e-11
710,3.78e-10,3.04e-12,7.22e-11,1.15e-11,-3.13e-11
712,3.69e-10,2.36e-12,1.24e-11,9.09e-12,-2.9e-11
714,3.02e-10,4.75e-14,4.38e-11,5.93e-12,-6.22e-11
716,2.72e-10,-4.61e-12,3.92e-11,3.17e-13,-6.08e-11
718,2.86e-10,-4.68e-12,-3.1e-11,9.12e-12,-5.11e-11
720,2.24e-10,-9.64e-13,-1.74e-11,4.59e-12,-3.25e-11
722,2.21e-10,6.4e-12,1.33e-11,5.91e-12,-1.36e-11
724,2.5e-10,1.98e-12,7.72e-11,6.16e-13,-3.41e-11
726,2.1e-10,6.1e-13,2.2e-11,6.51e-13,-1.1e-10
728,1.54e-10,7.48e-12,7.65e-11,2.95e-12,-1.06e-10
730,1.58e-10,1.01e-11,5.29e-12,2.35e-12,-2.54e-11
732,1.69e-10,1.52e-11,7.46e-11,-3.03e-12,-7.23e-11
734,1.09e-10,2.58e-11,7.38e-11,4.67e-13,-7.42e-11
736,9.25e-11,1.47e-11,3.14e-11,4.06e-12,-9.26e-11
738,1.05e-10,4.22e-11,2.36e-11,1.78e-12,-5.24e-11
740,1.16e-10,3.14e-11,9.57e-11,7.09e-12,-9.8e-11
742,1.47e-10,4.23e-11,1.03e-10,6.69e-12,-8.47e-11
744,1.56e-10,1.96e-11,2.63e-11,2.06e-12,-1.94e-10
746,1.06e-10,3.22e-11,1.79e-11,9.68e-13,-2.65e-10
748,1.48e-10,1.92e-11,4.48e-11,7.54e-12,-1.82e-10
750,1.69e-10,5.9e-12,1.31e-10,1.21e-11,-1.56e-10
752,1.44e-10,9.9e-12,2e-10,-4.83e-12,-9.48e-11
754,1.04e-10,1.25e-11,1.13e-10,3.87e-12,-8.81e-11
756,1.7e-10,5.2e-13,3.25e-11,1.23e-11,3e-11
758,1.64e-10,-8.71e-12,1.18e-10,1.73e-11,-1.02e-10
760,1.62e-10,-8.22e-12,9.63e-11,1.41e-11,-5.69e-11
762,2.19e-10,-3e-11,-4.54e-11,1.61e-11,-1.67e-10
764,9.89e-11,9.45e-12,2.27e-10,2.49e-11,-1.3e-10
766,1.86e-10,-1.53e-11,1.82e-10,1.31e-11,-1.65e-10
768,1.11e-10,1.12e-11,1.44e-10,1.74e-11,-2.36e-10
770,1.36e-10,1.57e-11,2.49e-10,1.3e-11,-1.48e-10
772,8.67e-11,-6.83e-12,2.56e-10,1.08e-11,-1.65e-10
774,8.67e-11,1.15e-12,1.28e-10,1.78e-11,-1.88e-10
776,1.63e-10,7.71e-13,-2.88e-11,2.2e-11,-3.18e-10
778,1.32e-10,-3.21e-11,5.89e-11,1.83e-11,-1.67e-10
780,1.86e-10,-8.16e-12,1.69e-10,1.86e-11,-2.31e-10
