wavelength,RED,GREEN,BLUE,ORANGE
380,2.07E-05,2.47E-05,3.95E-05,2.29E-05
382,2.79E-05,2.33E-05,3.32E-05,1.60E-05
384,2.49E-05,1.21E-05,2.59E-05,1.96E-05
386,7.69E-06,1.33E-05,2.73E-05,2.51E-05
388,1.54E-05,1.30E-05,2.31E-05,7.81E-06
390,1.31E-05,1.44E-05,2.17E-05,1.11E-05
392,1.40E-05,1.30E-05,2.35E-05,1.36E-05
394,6.14E-06,1.09E-05,2.05E-05,1.38E-05
396,4.94E-06,1.14E-05,2.14E-05,6.64E-06
398,6.78E-06,9.33E-06,2.13E-05,6.96E-06
400,1.14E-05,7.55E-06,2.19E-05,5.59E-06
402,4.19E-06,7.52E-06,2.25E-05,5.44E-06
404,6.81E-06,7.18E-06,1.99E-05,6.93E-06
406,7.68E-06,5.89E-06,2.03E-05,8.60E-06
408,3.65E-06,6.64E-06,2.04E-05,8.74E-06
410,4.33E-06,7.22E-06,2.32E-05,6.19E-06
412,2.17E-06,5.96E-06,2.09E-05,4.09E-06
414,2.84E-06,5.91E-06,2.03E-05,7.52E-06
416,-7.60E-08,5.39E-06,2.02E-05,6.57E-06
418,-1.47E-06,6.53E-06,2.22E-05,4.36E-06
420,9.38E-10,6.68E-06,2.45E-05,7.86E-06
422,7.43E-08,6.51E-06,3.08E-05,4.31E-06
424,1.95E-06,6.06E-06,3.73E-05,3.24E-06
426,8.37E-07,6.72E-06,4.73E-05,2.26E-06
428,1.05E-06,7.59E-06,6.40E-05,5.81E-07
430,1.85E-06,7.37E-06,8.84E-05,2.87E-06
432,4.45E-07,8.22E-06,1.23E-04,1.26E-06
434,2.91E-06,8.88E-06,1.79E-04,1.39E-06
436,4.86E-06,8.99E-06,2.56E-04,-1.44E-07
438,6.33E-06,1.05E-05,3.68E-04,1.83E-06
440,4.81E-06,1.23E-05,5.29E-04,4.43E-06
442,5.53E-06,1.30E-05,7.62E-04,4.36E-06
444,8.56E-06,1.52E-05,1.08E-03,4.29E-06
446,8.35E-06,1.71E-05,1.53E-03,4.41E-06
448,8.20E-06,1.71E-05,2.14E-03,6.43E-06
450,7.55E-06,1.64E-05,2.99E-03,3.97E-06
452,7.68E-06,1.54E-05,4.18E-03,3.19E-06
454,6.57E-06,1.53E-05,5.85E-03,2.03E-06
456,4.31E-06,1.51E-05,8.23E-03,5.10E-06
458,5.77E-06,1.46E-05,1.16E-02,2.81E-06
460,3.48E-06,1.65E-05,1.61E-02,4.98E-06
462,4.72E-06,1.86E-05,2.18E-02,6.43E-06
464,3.05E-06,2.02E-05,2.84E-02,5.30E-06
466,3.64E-06,2.34E-05,3.48E-02,5.06E-06
468,3.53E-06,2.89E-05,3.98E-02,4.39E-06
470,3.76E-06,3.50E-05,4.21E-02,6.24E-06
472,4.73E-06,4.38E-05,4.12E-02,6.35E-06
474,3.49E-06,5.68E-05,3.74E-02,7.07E-06
476,2.35E-06,7.27E-05,3.22E-02,4.53E-06
478,3.99E-06,9.51E-05,2.68E-02,6.75E-06
480,2.27E-06,1.23E-04,2.22E-02,7.02E-06
482,3.23E-06,1.61E-04,1.86E-02,5.48E-06
484,2.82E-06,2.09E-04,1.58E-02,5.33E-06
486,3.29E-06,2.71E-04,1.36E-02,5.90E-06
488,2.90E-06,3.51E-04,1.16E-02,6.00E-06
490,2.33E-06,4.55E-04,9.72E-03,4.29E-06
492,3.24E-06,5.84E-04,8.01E-03,4.78E-06
494,3.73E-06,7.49E-04,6.51E-03,4.79E-06
496,4.45E-06,9.60E-04,5.25E-03,5.95E-06
498,2.89E-06,1.23E-03,4.26E-03,4.64E-06
500,3.18E-06,1.57E-03,3.49E-03,3.70E-06
502,3.50E-06,2.01E-03,2.90E-03,5.06E-06
504,2.71E-06,2.56E-03,2.44E-03,4.80E-06
506,3.37E-06,3.26E-03,2.05E-03,5.13E-06
508,1.25E-06,4.14E-03,1.71E-03,4.51E-06
510,4.97E-06,5.24E-03,1.42E-03,3.49E-06
512,3.62E-06,6.59E-03,1.18E-03,5.54E-06
514,3.61E-06,8.20E-03,9.67E-04,5.06E-06
516,4.54E-06,1.01E-02,7.97E-04,5.51E-06
518,3.64E-06,1.22E-02,6.60E-04,5.92E-06
520,4.87E-06,1.46E-02,5.50E-04,6.20E-06
522,4.72E-06,1.69E-02,4.68E-04,6.17E-06
524,4.75E-06,1.93E-02,4.00E-04,7.03E-06
526,5.47E-06,2.14E-02,3.40E-04,8.71E-06
528,5.22E-06,2.31E-02,2.93E-04,1.04E-05
530,6.99E-06,2.42E-02,2.54E-04,1.26E-05
532,7.53E-06,2.48E-02,2.17E-04,1.50E-05
534,6.13E-06,2.48E-02,1.88E-04,1.99E-05
536,7.82E-06,2.42E-02,1.61E-04,2.49E-05
538,6.86E-06,2.32E-02,1.42E-04,3.32E-05
540,6.67E-06,2.18E-02,1.25E-04,4.41E-05
542,8.22E-06,2.03E-02,1.11E-04,6.05E-05
544,8.48E-06,1.87E-02,9.95E-05,8.12E-05
546,7.99E-06,1.72E-02,9.03E-05,1.08E-04
548,9.09E-06,1.56E-02,8.18E-05,1.46E-04
550,9.21E-06,1.42E-02,7.49E-05,2.00E-04
552,9.95E-06,1.28E-02,6.82E-05,2.68E-04
554,1.07E-05,1.16E-02,6.30E-05,3.63E-04
556,1.30E-05,1.04E-02,5.79E-05,4.89E-04
558,1.45E-05,9.33E-03,5.41E-05,6.56E-04
560,1.53E-05,8.31E-03,5.03E-05,8.80E-04
562,2.07E-05,7.37E-03,4.67E-05,1.17E-03
564,2.60E-05,6.51E-03,4.46E-05,1.55E-03
566,3.40E-05,5.74E-03,4.14E-05,2.05E-03
568,4.18E-05,5.05E-03,3.96E-05,2.70E-03
570,5.26E-05,4.43E-03,3.74E-05,3.57E-03
572,6.78E-05,3.91E-03,3.53E-05,4.72E-03
574,8.46E-05,3.43E-03,3.38E-05,6.23E-03
576,1.11E-04,3.01E-03,3.24E-05,8.26E-03
578,1.45E-04,2.65E-03,3.15E-05,1.10E-02
580,1.91E-04,2.33E-03,3.15E-05,1.46E-02
582,2.47E-04,2.05E-03,2.99E-05,1.93E-02
584,3.14E-04,1.80E-03,2.96E-05,2.54E-02
586,4.08E-04,1.57E-03,2.93E-05,3.30E-02
588,5.28E-04,1.37E-03,3.06E-05,4.22E-02
590,6.81E-04,1.20E-03,3.00E-05,5.21E-02
592,8.74E-04,1.04E-03,3.11E-05,5.96E-02
594,1.12E-03,9.11E-04,3.13E-05,5.94E-02
